     Samples  DatasetSize   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20      1000000            8          895           30          100   402305.843   402305.843   402494.949   402566.238   403947.001   404952.265   406897.251   408522.993   410144.326   410144.326   410144.326
          20      1000000            8         1288           30          100   405386.720   405386.720   405427.947   405957.311   406471.501   407177.030   407662.203   408764.502   416141.726   416141.726   416141.726
          20      1000000            8         1853           30          100   391493.989   391493.989   391560.835   391581.260   391747.756   391972.312   393895.583   405950.496   406794.101   406794.101   406794.101
          20      1000000            8         2666           30          100   405014.560   405014.560   409275.437   410132.321   414892.745   416920.144   420594.049   422445.539   423578.462   423578.462   423578.462
          20      1000000            8         3835           30          100   385148.114   385148.114   385636.153   385651.817   385726.491   386310.231   387338.931   396281.474   399432.501   399432.501   399432.501
          20      1000000            8         5517           30          100   390883.724   390883.724   391677.994   391809.335   393339.684   394090.244   396958.370   399559.381   409456.384   409456.384   409456.384
          20      1000000            8         7936           30          100   397107.250   397107.250   397126.891   397389.470   397590.286   397960.453   399165.233   404468.956   413275.728   413275.728   413275.728
          20      1000000            8        11416           30          100   406208.445   406208.445   406374.779   406454.089   406984.188   407440.965   408592.335   413441.349   421160.282   421160.282   421160.282
          20      1000000            8        16422           30          100   440277.752   440277.752   440923.606   441273.368   441788.074   442654.147   443632.892   449453.742   455410.907   455410.907   455410.907
          20      1000000            8        23623           30          100   465303.267   465303.267   465937.278   466375.759   466585.717   467437.077   473628.277   481762.679   484273.722   484273.722   484273.722
          20      1000000            8        33981           30          100   497233.418   497233.418   497944.850   498331.332   498655.463   499673.071   500537.498   505277.560   514281.485   514281.485   514281.485
          20      1000000            8        48880           30          100   515045.513   515045.513   517669.410   518198.110   518653.384   520182.976   521592.966   522507.802   525996.235   525996.235   525996.235
          20      1000000            8        70312           30          100   518965.768   518965.768   523238.293   524330.621   525095.811   526121.621   528579.154   535084.144   546966.708   546966.708   546966.708
